,name,ticker,year,penalty
0,1-800-Flowers.com,FLWS),2018,"19,401"
1,1-800-Flowers.com,FLWS),2011,"7,650"
2,1-800-Flowers.com,FLWS),2021,"6,500"
3,1-800-Flowers.com,FLWS),2005,"6,000"
4,1-800-Flowers.com,FLWS),2012,"5,130"
5,1366 Technologies, ,2016,"14,400"
6,1366 Technologies, ,2014,"11,320"
7,1st Financial Bank USA, ,2010,"10,140,000"
8,1st Financial Bank USA, ,2009,"140,000"
9,1st Financial Bank USA, ,2005,"43,142"
10,21st Century Oncology, ,2016,"34,700,000"
11,21st Century Oncology, ,2017,"26,000,000"
12,21st Century Oncology, ,2015,"19,750,000"
13,21st Century Oncology, ,2017,"2,300,000"
14,220 Laboratories Inc., ,2012,"68,700"
15,220 Laboratories Inc., ,2016,"26,100"
16,220 Laboratories Inc., ,2017,"18,000"
17,220 Laboratories Inc., ,2007,"10,000"
18,220 Laboratories Inc., ,2000,"7,500"
19,24 Hour Fitness, ,2006,"38,000,000"
20,24 Hour Fitness, ,2013,"17,448,500"
21,24 Hour Fitness, ,2017,"1,300,000"
22,24 Hour Fitness, ,2001,"29,000"
23,24 Hour Fitness, ,2006,"23,450"
24,24 Hour Fitness, ,2002,"20,285"
25,24 Hour Fitness, ,2001,"8,325"
26,24 Hour Fitness, ,2016,"5,750"
27,3D Systems,DDD),2005,"136,083"
28,3D Systems,DDD),2020,"17,659"
29,3D Systems,DDD),2013,"14,895"
30,3D Systems,DDD),2014,"8,000"
31,3M Company,MMM),2018,"850,000,000"
32,3M Company,MMM),2022,"21,750,000"
33,3M Company,MMM),2021,"12,500,000"
34,3M Company,MMM),2011,"12,000,000"
35,3M Company,MMM),2018,"9,100,000"
36,3M Company,MMM),2021,"5,950,000"
37,3M Company,MMM),2010,"4,950,000"
38,3M Company,MMM),2011,"3,000,000"
39,3M Company,MMM),2021,"1,550,000"
40,3M Company,MMM),2006,"1,521,983"
41,3M Company,MMM),2010,"338,088"
42,3M Company,MMM),2012,"230,000"
43,3M Company,MMM),2004,"192,500"
44,3M Company,MMM),2010,"150,000"
45,3M Company,MMM),2010,"125,000"
46,3M Company,MMM),2010,"125,000"
47,3M Company,MMM),2009,"104,000"
48,3M Company,MMM),2013,"91,192"
49,3M Company,MMM),2021,"81,000"
50,3M Company,MMM),2021,"80,000"
51,3M Company,MMM),2003,"78,395"
52,3M Company,MMM),2006,"74,000"
53,3M Company,MMM),2018,"70,000"
54,3M Company,MMM),2014,"65,000"
55,3M Company,MMM),2005,"60,000"
56,3M Company,MMM),2000,"52,340"
57,3M Company,MMM),2017,"50,000"
58,3M Company,MMM),2004,"44,000"
59,3M Company,MMM),2019,"41,125"
60,3M Company,MMM),2017,"40,000"
61,3M Company,MMM),2000,"38,596"
62,3M Company,MMM),2008,"30,000"
63,3M Company,MMM),2004,"28,125"
64,3M Company,MMM),2014,"27,000"
65,3M Company,MMM),2021,"25,000"
66,3M Company,MMM),2004,"24,075"
67,3M Company,MMM),2012,"23,310"
68,3M Company,MMM),2006,"23,000"
69,3M Company,MMM),2008,"22,839"
70,3M Company,MMM),2016,"21,000"
71,3M Company,MMM),2013,"20,000"
72,3M Company,MMM),2011,"20,000"
73,3M Company,MMM),2010,"19,212"
74,3M Company,MMM),2019,"19,200"
75,3M Company,MMM),2021,"18,800"
76,3M Company,MMM),2018,"18,450"
77,3M Company,MMM),2013,"18,000"
78,3M Company,MMM),2008,"18,000"
79,3M Company,MMM),2014,"18,000"
80,3M Company,MMM),2004,"15,600"
81,3M Company,MMM),2004,"15,225"
82,3M Company,MMM),2007,"15,000"
83,3M Company,MMM),2003,"15,000"
84,3M Company,MMM),2006,"14,780"
