,0,1,2,3,4
0,1-800-flowerscom,1-800-Flowers.com,FLWS),"$44,681",5
1,1366-technologies,1366 Technologies, ,"$25,720",2
2,1st-financial-bank-usa,1st Financial Bank USA, ,"$10,183,142",3
3,21st-century-oncology,21st Century Oncology, ,"$82,750,000",3
4,220-laboratories-inc,220 Laboratories Inc., ,"$130,300",2
5,24-hour-fitness,24 Hour Fitness, ,"$56,835,310",2
6,3d-systems,3D Systems,DDD),"$176,637",2
7,3m-company,3M Company,MMM),"$925,315,935",44
8,7-day-furniture,7 Day Furniture, ,"$17,102",2
9,84-lumber,84 Lumber, ,"$392,841",35
10,am-castle-and-co,A.M. Castle & Co.,CTAM),"$951,472",1
11,ao-smith-corp,A.O. Smith Corp.,AOS),"$78,961",4
12,aa-rite-way-roofing,AA Rite-Way Roofing, ,"$57,340",4
13,aac-holdings,AAC Holdings,AACH),"$79,211",3
14,aaon-inc,AAON Inc.,AAON),"$80,397",4
15,aar-corp,AAR Corp.,AIR),"$14,058,944",1
16,aarons,Aaron's,AAN),"$41,391,620",1
17,abb-ltd,ABB Ltd.,ABB),"$176,874,938",4
18,abbott-laboratories,Abbott Laboratories,ABT),"$783,551,952",9
19,abbvie,AbbVie,ABBV),"$3,403,142,507",9
20,abbyland-foods,Abbyland Foods, ,"$941,478",3
21,abc-supply,ABC Supply, ,"$473,891",23
22,abengoa,Abengoa, ,"$247,680",3
23,abercrombie-and-fitch,Abercrombie & Fitch,ANF),"$135,650,895",19
24,aberdeen-flying-service,Aberdeen Flying Service, ,"$54,180",3
25,abiomed,Abiomed,ABMD),"$3,100,000",1
26,able-sheet-metal,Able Sheet Metal, ,"$95,723",4
27,abm-industries,ABM Industries,NYSE: ABM),"$151,173,297",76
28,abn-amro,ABN AMRO, ,"$608,739,255",10
29,abraxas-petroleum,Abraxas Petroleum,AXAS),"$91,525",6
30,abt-associates,Abt Associates, ,"$2,910,001",1
31,acadia-healthcare,Acadia Healthcare,ACHC),"$26,527,278",3
32,accenture,Accenture,ACN),"$67,082,173",2
33,access-industries,Access Industries, ,"$45,630,750",1
34,acciona,Acciona, ,"$8,820",1
35,acco-brands,ACCO Brands,ACCO),"$129,203",1
36,accordius-health,Accordius Health, ,"$905,560",21
37,accutest-laboratories,Accutest Laboratories, ,"$5,476,560",1
38,ace-cash-express,ACE Cash Express, ,"$18,090,250",24
39,acerinox,Acerinox, ,"$380,175",10
40,aceto,Aceto, ,"$125,000",1
41,acme-foundry,Acme Foundry, ,"$868,367",1
42,acs-sa,ACS S.A., ,"$7,609,955",1
43,action-manufacturing,Action Manufacturing, ,"$1,798,843",4
44,activision-blizzard,Activision Blizzard,ATVI),"$1,500,000",1
45,acuity-brands,Acuity Brands,AYI),"$1,048,263",3
46,acushnet-holdings,Acushnet Holdings,GOLF),"$15,501",1
47,addus-homecare,Addus HomeCare,ADUS),"$161,926",3
48,adecco,Adecco, ,"$6,619,636",15
49,adelphia-communications,Adelphia Communications, ,"$715,475,258",1
50,adidas,Adidas, ,"$26,550",1
51,adient,Adient,ADNT),"$406,729",3
